DR0,2024-07-04 19:10:30,  ,868.3,-83
DR8,2024-07-04 19:10:34,1,868.0,-75
DR9,2024-07-04 19:10:36,1,868.0,-91
DR0,2024-07-04 19:10:39,1,865.9,-88
DR8,2024-07-04 19:10:43,2,868.0,-81
DR9,2024-07-04 19:10:45,2,868.0,-78
DR0,2024-07-04 19:10:48,2,865.9,-86
DR8,2024-07-04 19:10:52,3,868.0,-93
DR9,2024-07-04 19:10:54,3,868.0,-84
DR0,2024-07-04 19:10:57,3,865.9,-89
DR8,2024-07-04 19:11:01,4,868.0,-93
DR9,2024-07-04 19:11:03,4,868.0,-85
DR0,2024-07-04 19:11:06,4,865.9,-84
DR8,2024-07-04 19:11:10,5,868.0,-87
DR9,2024-07-04 19:11:12,5,868.0,-84
DR0,2024-07-04 19:11:15,5,865.9,-90
DR8,2024-07-04 19:11:19,6,868.0,-92
DR9,2024-07-04 19:11:21,6,868.0,-84
DR0,2024-07-04 19:11:24,6,865.9,-79
DR8,2024-07-04 19:11:28,7,868.0,-88
DR9,2024-07-04 19:11:31,7,868.0,-84
DR0,2024-07-04 19:11:33,7,865.9,-85
DR8,2024-07-04 19:11:37,8,868.0,-83
DR9,2024-07-04 19:11:39,8,868.0,-93
DR0,2024-07-04 19:11:42,8,865.9,-84
DR8,2024-07-04 19:11:46,9,868.0,-78
DR9,2024-07-04 19:11:48,9,868.0,-71
DR0,2024-07-04 19:11:51,9,865.9,-74
DR8,2024-07-04 19:11:55,10,868.0,-75
DR9,2024-07-04 19:11:57,10,868.0,-73
DR0,2024-07-04 19:12:00,10,865.9,-75
DR8,2024-07-04 19:12:04,11,868.0,-77
DR9,2024-07-04 19:12:06,11,868.0,-72
DR0,2024-07-04 19:12:09,11,865.9,-72
DR8,2024-07-04 19:12:13,12,868.0,-76
DR9,2024-07-04 19:12:15,12,868.0,-67
DR0,2024-07-04 19:12:18,12,865.9,-73
DR8,2024-07-04 19:12:22,13,868.0,-74
DR9,2024-07-04 19:12:24,13,868.0,-73
DR0,2024-07-04 19:12:27,13,865.9,-77
DR8,2024-07-04 19:12:31,14,868.0,-75
DR9,2024-07-04 19:12:33,14,868.0,-75
DR0,2024-07-04 19:12:36,14,865.9,-76
DR8,2024-07-04 19:12:41,15,868.0,-75
DR9,2024-07-04 19:12:42,15,868.0,-77
DR0,2024-07-04 19:12:45,15,865.9,-78
DR8,2024-07-04 19:12:50,16,868.0,-73
DR9,2024-07-04 19:12:51,16,868.0,-75
DR0,2024-07-04 19:12:54,16,865.9,-72
DR8,2024-07-04 19:12:59,17,868.0,-75
DR0,2024-07-04 19:13:03,17,865.9,-77
DR8,2024-07-04 19:13:08,18,868.0,-81
DR9,2024-07-04 19:13:10,18,868.0,-85
DR0,2024-07-04 19:13:13,18,865.9,-84
DR8,2024-07-04 19:13:17,19,868.0,-75
DR9,2024-07-04 19:13:19,19,868.0,-76
DR0,2024-07-04 19:13:22,19,865.9,-87
DR8,2024-07-04 19:13:25,20,868.0,-86
DR9,2024-07-04 19:13:28,20,868.0,-91
DR0,2024-07-04 19:13:31,20,865.9,-91
DR8,2024-07-04 19:13:35,21,868.0,-88
DR9,2024-07-04 19:13:37,21,868.0,-89
DR0,2024-07-04 19:13:40,21,865.9,-100
DR8,2024-07-04 19:13:44,22,868.0,-97
DR0,2024-07-04 19:13:49,22,865.9,-97
DR8,2024-07-04 19:13:53,23,868.0,-98
DR9,2024-07-04 19:13:55,23,868.0,-100
DR0,2024-07-04 19:13:58,23,865.9,-107
DR8,2024-07-04 19:14:02,24,868.0,-104
DR9,2024-07-04 19:14:04,24,868.0,-104
DR0,2024-07-04 19:14:07,24,865.9,-113
DR8,2024-07-04 19:14:11,25,868.0,-101
